month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,150.0,DC,"0,55€/kWh",0.55,ok
2025-05,Illes Balears,,50.0,DC,"0,55€/kWh",0.55,ok
2025-05,Illes Balears,,22.0,AC,"0,55€/kWh",0.55,ok
2025-05,Illes Balears,,22.0,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,22.0,AC,Free,,free
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,,,empty
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,2.3,AC,Free,,free
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,2.3,AC,Free,,free
2025-05,Illes Balears,,7.0,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,3.7,AC,,,empty
2025-05,Illes Balears,,3.7,AC,,,empty
2025-05,Illes Balears,,22.0,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,22.0,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,7.4,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,7.0,AC,,,no_kwh
2025-05,Illes Balears,,22.0,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,,,,,empty
2025-05,Illes Balears,,3.7,AC,,,empty
2025-05,Illes Balears,,7.4,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,7.4,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,22.0,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,22.0,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,60.0,DC," 0,45€/kWh DC - 0,40€/kWh AC ",0.45,ok
2025-05,Illes Balears,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-05,Illes Balears,,22.0,AC,"0,45€/kWh ",0.45,ok
2025-05,Illes Balears,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-05,Illes Balears,,22.0,AC,Free,,free
2025-05,Illes Balears,,22.0,AC,"0,25€/kWh",0.25,ok
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,11.0,AC,,,no_kwh
2025-05,Illes Balears,,3.6,AC,,,no_kwh
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,2.3,AC,Free,,free
2025-05,Illes Balears,,22.0,AC,,,no_kwh
2025-05,Illes Balears,,7.4,AC,,,no_kwh
2025-05,Illes Balears,,11.0,AC,,,no_kwh
2025-05,Illes Balears,,7.4,AC,free,,free
2025-05,Illes Balears,,2.3,AC,free,,free
2025-05,Illes Balears,,60.0,DC," 0,49€/kWh  DC - 0,39€/kWh AC ",0.49,ok
2025-05,Illes Balears,,22.0,AC," 0,49€/kWh  DC - 0,39€/kWh AC ",0.49,ok
2025-05,Illes Balears,,22.0,AC,,,no_kwh
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,22.0,AC,"0,55€/kWh",0.55,ok
2025-05,Illes Balears,,22.0,AC,Free,,free
2025-05,Illes Balears,,11.0,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,100.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-05,Illes Balears,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-05,Illes Balears,,22.0,AC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,22.0,AC,"0,38€/kWh + parking fee",0.38,ok
2025-05,Illes Balears,,11.0,AC,,,no_kwh
2025-05,Illes Balears,,22.0,AC,"0,25€/kWh",0.25,ok
2025-05,Illes Balears,,50.0,DC," 0,45€/kWh DC ACn43kW",0.45,ok
2025-05,Illes Balears,,50.0,DC," 0,45€/kWh DC ACn43kW",0.45,ok
2025-05,Illes Balears,,43.0,DC," 0,45€/kWh DC ACn43kW",0.45,ok
2025-05,Illes Balears,,11.0,AC,"0,35€/kWh",0.35,ok
2025-05,Illes Balears,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Illes Balears,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Illes Balears,,43.0,DC,0.47€/kWh ,0.47,ok
2025-05,Illes Balears,,7.4,AC,,,empty
2025-05,Illes Balears,,2.4,AC,,,empty
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,22.0,AC,"0,25€/kWh ",0.25,ok
2025-05,Illes Balears,,7.4,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,7.4,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,,,no_kwh
2025-05,Illes Balears,,11.0,AC,"0,39€/kWh",0.39,ok
2025-05,Illes Balears,,22.0,AC," 0,38€/kWh",0.38,ok
2025-05,Illes Balears,,3.7,AC,,,empty
2025-05,Illes Balears,,11.0,AC,,,no_kwh
2025-05,Illes Balears,,11.0,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,,,no_kwh
2025-05,Illes Balears,,22.0,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,11.0,AC,,,no_kwh
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,2.3,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,3.5,AC,,,no_kwh
2025-05,Illes Balears,,2.3,AC,,,no_kwh
2025-05,Illes Balears,,60.0,DC," 0,45€/kWh DC - 0,40€/kWh AC ",0.45,ok
2025-05,Illes Balears,,22.0,AC,,,no_kwh
2025-05,Illes Balears,,11.0,AC,,,no_kwh
2025-05,Illes Balears,,22.0,AC,Free,,free
2025-05,Illes Balears,,22.0,AC,"0,39€/kWh",0.39,ok
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,22.0,AC,"0,35€/kWh",0.35,ok
2025-05,Illes Balears,,22.0,AC,"0,39€/kWh",0.39,ok
2025-05,Illes Balears,,11.0,AC,free,,free
2025-05,Illes Balears,,60.0,DC," 0,49€/kWh  DC - 0,39€/kWh AC ",0.49,ok
2025-05,Illes Balears,,7.4,AC,free,,free
2025-05,Illes Balears,,2.3,AC,free,,free
2025-05,Illes Balears,,22.0,AC," 0,39€/kWh ",0.39,ok
2025-05,Illes Balears,,7.4,AC,,,no_kwh
2025-05,Illes Balears,,11.0,AC,free,,free
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,22.0,AC,"0,49€/kWh",0.49,ok
2025-05,Illes Balears,,22.0,AC,parking fee,,no_kwh
2025-05,Illes Balears,,11.0,AC,free,,free
2025-05,Illes Balears,,22.0,AC,"0,25€/kWh",0.25,ok
2025-05,Illes Balears,,11.0,AC,free,,free
2025-05,Illes Balears,,22.0,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,22.0,AC,,,no_kwh
2025-05,Illes Balears,,50.0,DC,,,no_kwh
2025-05,Illes Balears,,50.0,DC,,,no_kwh
2025-05,Illes Balears,,22.0,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,25.0,DC,,,no_kwh
2025-05,Illes Balears,,25.0,DC,,,no_kwh
2025-05,Illes Balears,,50.0,DC,,,no_kwh
2025-05,Illes Balears,,50.0,DC,,,no_kwh
2025-05,Illes Balears,,11.0,AC,,,no_kwh
2025-05,Illes Balears,,7.4,AC,,,no_kwh
2025-05,Illes Balears,,3.7,AC,,,no_kwh
2025-05,Illes Balears,,3.7,AC,,,empty
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,,,empty
2025-05,Illes Balears,,22.0,AC,,,empty
2025-05,Illes Balears,,22.0,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,22.0,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,11.0,AC,,,empty
2025-05,Illes Balears,,22.0,AC,,,empty
2025-05,Illes Balears,,2.3,AC,,,empty
2025-05,Illes Balears,,11.0,AC,"0,45€/kWh",0.45,ok
2025-05,Illes Balears,,50.0,DC,"0,45€/kWh",0.45,ok
2025-05,Illes Balears,,50.0,DC,"0,45€/kWh",0.45,ok
2025-05,Illes Balears,,43.0,DC,"0,45€/kWh",0.45,ok
2025-05,Illes Balears,,3.7,AC,,,empty
2025-05,Illes Balears,,11.0,AC,,,no_kwh
2025-05,Illes Balears,,150.0,DC," 0,55€/kWh  DC - 0,35€/kWh AC ",0.55,ok
2025-05,Illes Balears,,11.0,AC,,,no_kwh
2025-05,Illes Balears,,22.0,AC,"0,45€/kwh",0.45,ok
2025-05,Illes Balears,,7.4,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,11.0,AC,Free,,free
2025-05,Illes Balears,,2.3,AC,Free,,free
2025-05,Illes Balears,,11.0,AC,free,,free
2025-05,Illes Balears,,22.0,AC,"0,39€/kWh",0.39,ok
2025-05,Illes Balears,,25.0,DC,free,,free
2025-05,Illes Balears,,25.0,DC,free,,free
2025-05,Illes Balears,,22.0,AC,free,,free
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,7.4,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,,,no_kwh
2025-05,Illes Balears,,3.7,AC,,,no_kwh
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,25.0,DC,,,no_kwh
2025-05,Illes Balears,,7.4,AC,,,no_kwh
2025-05,Illes Balears,,2.3,AC,,,no_kwh
2025-05,Illes Balears,,22.0,AC,"0,38€/kWh",0.38,ok
2025-05,Illes Balears,,11.0,AC,,,no_kwh
2025-05,Illes Balears,,11.0,AC,Free,,free
2025-05,Illes Balears,,2.3,AC,Free,,free
2025-05,Illes Balears,,60.0,DC,"0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,50.0,DC,"0,49€/kWh ",0.49,ok
2025-05,Illes Balears,,43.0,DC,"0,49€/kWh ",0.49,ok
2025-05,Illes Balears,,50.0,DC,"0,49€/kWh ",0.49,ok
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,,,empty
2025-05,Illes Balears,,3.7,AC,,,empty
2025-05,Illes Balears,,7.4,AC,,,no_kwh
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,7.4,AC,parking,,no_kwh
2025-05,Illes Balears,,3.7,AC,parking,,no_kwh
2025-05,Illes Balears,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Illes Balears,,50.0,DC,0.47€/kWh ,0.47,ok
2025-05,Illes Balears,,43.0,DC,0.47€/kWh ,0.47,ok
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,60.0,DC," 0,40€/kWh DC - 0,35€/kWh AC ",0.4,ok
2025-05,Illes Balears,,22.0,AC," 0,40€/kWh DC - 0,35€/kWh AC ",0.4,ok
2025-05,Illes Balears,,22.0,AC," 0,40€/kWh AC ",0.4,ok
2025-05,Illes Balears,,22.0,AC,"0,39€/kWh",0.39,ok
2025-05,Illes Balears,,60.0,DC," 0,45€/kWh DC - 0,40€/kWh AC ",0.45,ok
2025-05,Illes Balears,,60.0,DC," 0,45€/kWh DC - 0,40€/kWh AC ",0.45,ok
2025-05,Illes Balears,,22.0,AC," 0,39€/kWh ",0.39,ok
2025-05,Illes Balears,,22.0,AC,"0,39€/kWh",0.39,ok
2025-05,Illes Balears,,22.0,AC,"0,38€/kWh + parking fee",0.38,ok
2025-05,Illes Balears,,22.0,AC,"0,20€/kWh ",0.2,ok
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,22.0,AC,Free,,free
2025-05,Illes Balears,,22.0,AC,,,no_kwh
2025-05,Illes Balears,,22.0,AC,Free,,free
2025-05,Illes Balears,,43.0,DC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-05,Illes Balears,,50.0,DC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-05,Illes Balears,,50.0,DC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-05,Illes Balears,,22.0,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,22.0,AC,,,no_kwh
2025-05,Illes Balears,,22.0,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,11.0,AC,,,no_kwh
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,22.0,AC,"0,25€/kWh",0.25,ok
2025-05,Illes Balears,,150.0,DC,"0,60 €/kWh",0.6,ok
2025-05,Illes Balears,,22.0,AC,"0,20€/kWh ",0.2,ok
2025-05,Illes Balears,,50.0,DC,,,no_kwh
2025-05,Illes Balears,,50.0,DC,,,no_kwh
2025-05,Illes Balears,,22.0,AC,,,no_kwh
2025-05,Illes Balears,,22.0,AC,,,no_kwh
2025-05,Illes Balears,,60.0,DC," 0,40€/kWh DC - 0,35€/kWh AC ",0.4,ok
2025-05,Illes Balears,,60.0,DC," 0,49€/kWh  DC - 0,39€/kWh AC ",0.49,ok
2025-05,Illes Balears,,22.0,AC," 0,49€/kWh  DC - 0,39€/kWh AC ",0.49,ok
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,2.3,AC,,,no_kwh
2025-05,Illes Balears,,3.7,AC,,,no_kwh
2025-05,Illes Balears,,11.0,AC,0.80€/kWh,0.8,ok
2025-05,Illes Balears,,22.0,AC,,,empty
2025-05,Illes Balears,,22.0,AC,0.80€/kWh,0.8,ok
2025-05,Illes Balears,,22.0,AC,"0,38€/kWh + parking fee",0.38,ok
2025-05,Illes Balears,,11.0,AC,,,empty
2025-05,Illes Balears,,22.0,AC,,,empty
2025-05,Illes Balears,,2.3,AC,Free,,free
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,60.0,DC,"0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
2025-05,Illes Balears,,22.0,AC,,,no_kwh
2025-05,Illes Balears,,7.2,AC,,,empty
2025-05,Illes Balears,,3.6,AC,,,empty
2025-05,Illes Balears,,22.0,AC,"0,38€/kWh",0.38,ok
2025-05,Illes Balears,,22.0,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,22.0,AC," 0,39€/kWh ",0.39,ok
2025-05,Illes Balears,,7.4,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,60.0,DC,"0,49€/kWh DC - 0,39€/kWh AC",0.49,ok
2025-05,Illes Balears,,22.0,AC,"0,49€/kWh DC - 0,39€/kWh AC",0.49,ok
2025-05,Illes Balears,,22.0,AC,,,no_kwh
2025-05,Illes Balears,,22.0,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,3.7,AC,Free,,free
2025-05,Illes Balears,,22.0,AC,,,no_kwh
2025-05,Illes Balears,,7.4,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,Free,,free
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,22.0,AC,Free,,free
2025-05,Illes Balears,,22.0,AC,"0,20€/kWh ",0.2,ok
2025-05,Illes Balears,,7.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,2.3,AC,€0/kWh,,no_kwh
2025-05,Illes Balears,,22.0,AC,,,no_kwh
2025-05,Illes Balears,,2.3,AC,Free,,free
2025-05,Illes Balears,,7.4,AC,Free,,free
2025-05,Illes Balears,,22.0,AC,Free,,free
2025-05,Illes Balears,,50.0,DC,,,no_kwh
2025-05,Illes Balears,,50.0,DC,,,no_kwh
2025-05,Illes Balears,,22.0,AC,,,no_kwh
2025-05,Illes Balears,,22.0,AC,,,no_kwh
2025-05,Illes Balears,,22.0,AC,"0,39€/kWh 22kW AC",0.39,ok
2025-05,Illes Balears,,3.7,AC,"0,39€/kWh 22kW AC",0.39,ok
